# sec(z), Tsys/Tatm, Tr, fit
2.04339 0.11752 19.99493 0.14999
2.04977 0.13781 26.04331 0.15013
2.05619 0.10455 16.02705 0.15027
2.06267 0.13607 25.44557 0.15041
2.06918 0.09548 13.22847 0.15055
2.07575 0.09441 12.86916 0.15070
2.08236 0.11318 18.46018 0.15084
2.08903 0.10704 16.57746 0.15099
2.09574 0.07941 8.24945 0.15113
2.10250 0.15538 30.99933 0.15128
2.10931 0.13114 23.68526 0.15143
2.11617 0.09654 13.26623 0.15158
2.12309 0.21690 49.33288 0.15173
2.13005 0.18804 40.63078 0.15188
2.13707 0.12806 22.59430 0.15203
2.14414 0.17959 38.01182 0.15219
2.15127 0.17943 37.92016 0.15234
2.15845 0.15399 30.24637 0.15250
2.16568 0.17131 35.40003 0.15266
2.17297 0.09295 11.84769 0.15281
2.18031 0.08685 9.97203 0.15297
2.18772 0.14904 28.58675 0.15314
2.19517 0.13907 25.55115 0.15330
2.20269 0.13720 24.94403 0.15346
2.21026 0.11891 19.41066 0.15363
2.21790 0.15236 29.40144 0.15379
2.22559 0.20399 44.84262 0.15396
2.23334 0.18040 37.71894 0.15413
2.24116 0.09146 10.99123 0.15430
2.24903 0.17957 37.37707 0.15447
2.25697 0.20745 45.69377 0.15464
2.26498 0.15422 29.67675 0.15482
2.27304 0.16165 31.85779 0.15499
2.28117 0.16880 33.95402 0.15517
2.28937 0.12743 21.49168 0.15535
2.29763 0.15201 28.81835 0.15553
2.30596 0.10506 14.68226 0.15571
2.31436 0.10948 15.95929 0.15589
2.32282 0.08848 9.60749 0.15608
2.33135 0.12345 20.04559 0.15626
2.33996 0.18066 37.15880 0.15645
2.34863 0.19094 40.18898 0.15664
2.35738 0.14237 25.56728 0.15683
2.36620 0.17954 36.66344 0.15702
2.37509 0.24861 57.33195 0.15722
2.38406 0.10763 14.98333 0.15741
2.39311 0.16470 32.05239 0.15761
2.40222 0.14361 25.66824 0.15781
2.41142 0.11321 16.49386 0.15801
2.42070 0.20110 42.80569 0.15821
2.43005 0.16304 31.33289 0.15841
2.43948 0.17802 35.76806 0.15862
2.44900 0.16540 31.92684 0.15883
2.45859 0.17487 34.71063 0.15903
2.46827 0.19210 39.81962 0.15925
2.47804 0.19098 39.42437 0.15946
2.48789 0.19195 39.65877 0.15967
2.49782 0.17628 34.89772 0.15989
